Student Number,Name,Section,Grade,Date,Family,FD,Friends,FFD,Personal &  Health,PD,Academic / School,AD,Career,CD,Remarks,Recommendations,Others
,Tessa S. Alvarado,Agnes,Grade 1,2026-07-08,lack of quality time,,boy-girl relationship,,hospitalization,,misbehavior,,confusion,,,conference with parent/guardian,
,Aidan F. Santos,BS-P,3rd Year,2026-07-09,parental pressure,,incompatibilities,,gender confusion,,transition to school life,,parents choice,,,conference with adviser/subject teacher,
,Piper L. Mendoza,BSBA HRM,4th Year,2026-07-10,lack of quality time,,mistrust,,poor health,,learning difficulties,,change of interest,,,for assessment,
,Kai G. Tolentino,Sofia,Grade 2,2026-07-11,sibling rivalry,,bullying,,low self-esteem,,teacher/s,,undecided,,,for follow-up,
,Nova F. Rivera,St. Clare,Grade 3,2026-07-12,parent-child misunderstanding,,peer pressure,,psychological disturbances,,laziness,,no identified career,,,conference with parent/guardian,
,Jude V. Reyes,St. Thomas,Kinder,2026-07-13,financial discomfort,,adjustment difficulties,,physical disabilities,,difficult subjects,,confusion,,,conference with adviser/subject teacher,
,Ember S. Bautista,Gregory,Grade 6,2026-07-14,parental pressure,,boy-girl relationship,,stress,,failing marks,,parents choice,,,for assessment,
,Zara R. Medina,Genevieve,Grade 4,2026-07-15,parent-child misunderstanding,,incompatibilities,,hospitalization,,misbehavior,,change of interest,,,for follow-up,
,Theo L. Villanueva,BS-A,1st Year,2026-07-16,financial discomfort,,mistrust,,gender confusion,,transition to school life,,undecided,,,conference with parent/guardian,
,Paxton F. Aquino,BS-IE,2nd Year,2026-07-17,sibling rivalry,,bullying,,poor health,,learning difficulties,,no identified career,,,conference with adviser/subject teacher,
,Luca S. Ramos,BS-P,3rd Year,2026-07-18,lack of quality time,,peer pressure,,low self-esteem,,teacher/s,,confusion,,,for assessment,
,Sophie T. Dizon,Monica,Grade 5,2026-07-19,parental pressure,,adjustment difficulties,,psychological disturbances,,failing marks,,parents choice,,,for follow-up,
,Kairos M. Garcia,Agnes,Grade 1,2026-07-20,sibling rivalry,,boy-girl relationship,,physical disabilities,,misbehavior,,change of interest,,,conference with parent/guardian,
,Livia T. Fernandez,Sofia,Grade 2,2026-07-21,financial discomfort,,incompatibilities,,stress,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Ravi P. Mendoza,Genevieve,Grade 4,2026-07-22,parent-child misunderstanding,,mistrust,,hospitalization,,learning difficulties,,no identified career,,,for assessment,
,Leah J. Villaluna,Gregory,Grade 6,2026-07-23,lack of quality time,,bullying,,gender confusion,,teacher/s,,confusion,,,for follow-up,
,Finn T. Santos,BS-A,1st Year,2026-07-24,parental pressure,,peer pressure,,poor health,,laziness,,parents choice,,,conference with parent/guardian,
,Ivy G. Reyes,St. Clare,Grade 3,2026-07-25,parent-child misunderstanding,,adjustment difficulties,,low self-esteem,,difficult subjects,,change of interest,,,conference with adviser/subject teacher,
,Aiden S. Alonzo,St. Thomas,Kinder,2026-07-26,financial discomfort,,boy-girl relationship,,psychological disturbances,,failing marks,,undecided,,,for assessment,
,Tessa R. Bautista,BS-IE,2nd Year,2026-07-27,sibling rivalry,,incompatibilities,,physical disabilities,,misbehavior,,no identified career,,,for follow-up,
,Riley P. Dizon,Monica,Grade 5,2026-07-28,lack of quality time,,mistrust,,stress,,transition to school life,,confusion,,,conference with parent/guardian,
,Lyra M. Ramos,Agnes,Grade 1,2026-07-29,parental pressure,,bullying,,hospitalization,,learning difficulties,,undecided,,,conference with adviser/subject teacher,
,Grayson T. Medina,Sofia,Grade 2,2026-07-30,lack of quality time,,peer pressure,,gender confusion,,teacher/s,,no identified career,,,for assessment,
,Jasper L. Tolentino,BS-P,3rd Year,2026-07-31,sibling rivalry,,incompatibilities,,physical disabilities,,laziness,,confusion,,,for follow-up,
,Zane A. Lopez,BSBA HRM,4th Year,2026-08-01,parent-child misunderstanding,,mistrust,,stress,,difficult subjects,,parents choice,,,conference with parent/guardian,
,Amara B. Mendoza,St. Thomas,Kinder,2026-08-02,financial discomfort,,bullying,,hospitalization,,failing marks,,change of interest,,,conference with adviser/subject teacher,
,Jaden R. Aquino,BS-A,1st Year,2026-08-03,parental pressure,,peer pressure,,gender confusion,,misbehavior,,undecided,,,for assessment,
,Kara T. Salazar,Genevieve,Grade 4,2026-08-04,parent-child misunderstanding,,adjustment difficulties,,poor health,,transition to school life,,no identified career,,,for follow-up,
,Levi G. Reyes,Gregory,Grade 6,2026-08-05,financial discomfort,,boy-girl relationship,,low self-esteem,,learning difficulties,,confusion,,,conference with parent/guardian,
,Chloe M. Tolentino,St. Clare,Grade 3,2026-08-06,sibling rivalry,,incompatibilities,,psychological disturbances,,teacher/s,,parents choice,,,conference with adviser/subject teacher,
,Asher P. Bautista,Sofia,Grade 2,2026-08-07,lack of quality time,,mistrust,,physical disabilities,,laziness,,change of interest,,,for assessment,
,Lily T. Garcia,BS-IE,2nd Year,2026-08-08,parental pressure,,bullying,,stress,,difficult subjects,,undecided,,,for follow-up,
,Nico R. Alvarado,Monica,Grade 5,2026-08-09,sibling rivalry,,peer pressure,,hospitalization,,failing marks,,no identified career,,,conference with parent/guardian,
,Aurora F. Rivera,BS-P,3rd Year,2026-08-10,financial discomfort,,adjustment difficulties,,gender confusion,,misbehavior,,confusion,,,conference with adviser/subject teacher,
,Ethan L. Santos,BSBA HRM,4th Year,2026-08-11,parent-child misunderstanding,,boy-girl relationship,,poor health,,transition to school life,,parents choice,,,for assessment,
,Mia G. Cruz,St. Thomas,Kinder,2026-08-12,lack of quality time,,incompatibilities,,low self-esteem,,learning difficulties,,change of interest,,,for follow-up,
,Finn J. Fernandez,Agnes,Grade 1,2026-08-13,parental pressure,,mistrust,,psychological disturbances,,teacher/s,,undecided,,,conference with parent/guardian,
,Archer R. Reyes,Sofia,Grade 2,2026-08-14,parent-child misunderstanding,,bullying,,physical disabilities,,laziness,,no identified career,,,conference with adviser/subject teacher,
,Ember L. Villanueva,Monica,Grade 5,2026-08-15,financial discomfort,,peer pressure,,stress,,difficult subjects,,confusion,,,for assessment,
,Sienna M. Aquino,BS-A,1st Year,2026-08-16,sibling rivalry,,adjustment difficulties,,hospitalization,,failing marks,,parents choice,,,for follow-up,
,Zara P. Delgado,St. Clare,Grade 3,2026-08-17,lack of quality time,,boy-girl relationship,,gender confusion,,misbehavior,,change of interest,,,conference with parent/guardian,
,Kairos T. De Guzman,Gregory,Grade 6,2026-08-18,parental pressure,,incompatibilities,,poor health,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Riley V. Medina,BS-IE,2nd Year,2026-08-19,lack of quality time,,mistrust,,low self-esteem,,learning difficulties,,no identified career,,,for assessment,
,Maximus S. Dizon,BS-P,3rd Year,2026-08-20,sibling rivalry,,bullying,,psychological disturbances,,teacher/s,,confusion,,,for follow-up,
,Ariana T. Villamor,BSBA HRM,4th Year,2026-08-21,parent-child misunderstanding,,peer pressure,,physical disabilities,,laziness,,parents choice,,,conference with parent/guardian,
,Luca R. Bautista,St. Thomas,Kinder,2026-08-22,financial discomfort,,adjustment difficulties,,stress,,difficult subjects,,change of interest,,,conference with adviser/subject teacher,
,Olivia P. Villanueva,Monica,Grade 5,2026-08-23,parental pressure,,boy-girl relationship,,hospitalization,,failing marks,,undecided,,,for assessment,
,Jaxon M. Cruz,Sofia,Grade 2,2026-08-24,parent-child misunderstanding,,incompatibilities,,gender confusion,,misbehavior,,no identified career,,,for follow-up,
,Zoey A. Alvarado,Genevieve,Grade 4,2026-08-25,financial discomfort,,mistrust,,poor health,,transition to school life,,confusion,,,conference with parent/guardian,
,Leo S. Mendoza,BS-A,1st Year,2026-08-26,sibling rivalry,,bullying,,low self-esteem,,learning difficulties,,parents choice,,,conference with adviser/subject teacher,
,Juno F. Salazar,Gregory,Grade 6,2026-08-27,lack of quality time,,peer pressure,,psychological disturbances,,teacher/s,,change of interest,,,for assessment,
,Livia T. Panganiban,BS-P,3rd Year,2026-08-28,parental pressure,,adjustment difficulties,,physical disabilities,,laziness,,undecided,,,for follow-up,
,Roman A. Fernandez,BS-IE,2nd Year,2026-08-29,sibling rivalry,,boy-girl relationship,,stress,,difficult subjects,,no identified career,,,conference with parent/guardian,
,Cleo R. Reyes,BSBA HRM,4th Year,2026-08-30,financial discomfort,,incompatibilities,,hospitalization,,failing marks,,confusion,,,conference with adviser/subject teacher,
,Ellis M. De Leon,Agnes,Grade 1,2026-08-31,parent-child misunderstanding,,mistrust,,gender confusion,,misbehavior,,parents choice,,,for assessment,
,Skyler L. Santos,Sofia,Grade 2,2026-09-01,lack of quality time,,bullying,,poor health,,transition to school life,,change of interest,,,for follow-up,
,Kian T. Aquino,St. Thomas,Kinder,2026-09-02,parental pressure,,peer pressure,,low self-esteem,,learning difficulties,,undecided,,,conference with parent/guardian,
,Milo F. Rivera,St. Clare,Grade 3,2026-09-03,parent-child misunderstanding,,adjustment difficulties,,psychological disturbances,,teacher/s,,no identified career,,,conference with adviser/subject teacher,
,Zane M. Villaluna,Genevieve,Grade 4,2026-09-04,financial discomfort,,boy-girl relationship,,physical disabilities,,laziness,,confusion,,,for assessment,
,Caden T. Bautista,BS-A,1st Year,2026-09-05,sibling rivalry,,incompatibilities,,stress,,difficult subjects,,parents choice,,,for follow-up,
,Lana B. Mendoza,BS-IE,2nd Year,2026-09-06,lack of quality time,,mistrust,,hospitalization,,failing marks,,change of interest,,,conference with parent/guardian,
,Theo R. Pineda,BS-P,3rd Year,2026-09-07,parental pressure,,bullying,,gender confusion,,misbehavior,,undecided,,,conference with adviser/subject teacher,
,Cora T. Garcia,Monica,Grade 5,2026-09-08,lack of quality time,,peer pressure,,poor health,,transition to school life,,no identified career,,,for assessment,
,Vera G. De Guzman,Gregory,Grade 6,2026-09-09,sibling rivalry,,adjustment difficulties,,low self-esteem,,learning difficulties,,confusion,,,for follow-up,
,Paxton F. Reyes,BSBA HRM,4th Year,2026-09-10,parent-child misunderstanding,,boy-girl relationship,,psychological disturbances,,teacher/s,,parents choice,,,conference with parent/guardian,
,Sadie A. Alonzo,Sofia,Grade 2,2026-09-11,financial discomfort,,incompatibilities,,physical disabilities,,laziness,,change of interest,,,conference with adviser/subject teacher,
,Eden L. Solis,Genevieve,Grade 4,2026-09-12,parental pressure,,mistrust,,stress,,difficult subjects,,undecided,,,for assessment,
,Harper B. Mendoza,St. Clare,Grade 3,2026-09-13,parent-child misunderstanding,,bullying,,hospitalization,,failing marks,,no identified career,,,for follow-up,
,Theo F. Aquino,St. Thomas,Kinder,2026-09-14,financial discomfort,,peer pressure,,gender confusion,,misbehavior,,confusion,,,conference with parent/guardian,
,Kai G. Villanueva,BS-A,1st Year,2026-09-15,sibling rivalry,,adjustment difficulties,,poor health,,transition to school life,,parents choice,,,conference with adviser/subject teacher,
,Leah P. Dizon,BS-IE,2nd Year,2026-09-16,lack of quality time,,boy-girl relationship,,low self-esteem,,learning difficulties,,change of interest,,,for assessment,
,Roman T. Tolentino,BS-P,3rd Year,2026-09-17,parental pressure,,incompatibilities,,psychological disturbances,,teacher/s,,undecided,,,for follow-up,
,Nova G. Bautista,BSBA HRM,4th Year,2026-09-18,sibling rivalry,,mistrust,,physical disabilities,,laziness,,no identified career,,,conference with parent/guardian,
,Max R. Alvarado,Monica,Grade 5,2026-09-19,financial discomfort,,bullying,,stress,,difficult subjects,,confusion,,,conference with adviser/subject teacher,
,Gracie T. Villamor,Gregory,Grade 6,2026-09-20,parent-child misunderstanding,,peer pressure,,hospitalization,,failing marks,,parents choice,,,for assessment,
,Hudson A. Cruz,Agnes,Grade 1,2026-09-21,lack of quality time,,adjustment difficulties,,gender confusion,,misbehavior,,change of interest,,,for follow-up,
,Lily R. Panganiban,St. Thomas,Kinder,2026-09-22,parental pressure,,boy-girl relationship,,poor health,,transition to school life,,undecided,,,conference with parent/guardian,
,Riley V. Bautista,Sofia,Grade 2,2026-09-23,parent-child misunderstanding,,incompatibilities,,low self-esteem,,learning difficulties,,no identified career,,,conference with adviser/subject teacher,
,Jaden M. De Leon,BS-A,1st Year,2026-09-24,financial discomfort,,mistrust,,psychological disturbances,,teacher/s,,confusion,,,for assessment,
,Livia F. Medina,BS-IE,2nd Year,2026-09-25,sibling rivalry,,bullying,,physical disabilities,,laziness,,parents choice,,,for follow-up,
,Cleo J. Ramos,BS-P,3rd Year,2026-09-26,lack of quality time,,peer pressure,,stress,,difficult subjects,,change of interest,,,conference with parent/guardian,
,Luca G. Salazar,BSBA HRM,4th Year,2026-09-27,parental pressure,,adjustment difficulties,,hospitalization,,failing marks,,undecided,,,conference with adviser/subject teacher,
,Aiden F. Tolentino,St. Clare,Grade 3,2026-09-28,lack of quality time,,boy-girl relationship,,gender confusion,,misbehavior,,no identified career,,,for assessment,
,Isla M. Aquino,Genevieve,Grade 4,2026-09-29,sibling rivalry,,incompatibilities,,poor health,,transition to school life,,confusion,,,for follow-up,
,Zoe G. Reyes,Monica,Grade 5,2026-09-30,parent-child misunderstanding,,mistrust,,low self-esteem,,learning difficulties,,parents choice,,,conference with parent/guardian,
,Caden L. Dizon,Gregory,Grade 6,2026-10-01,financial discomfort,,bullying,,psychological disturbances,,teacher/s,,change of interest,,,conference with adviser/subject teacher,
,Livia B. Panganiban,St. Thomas,Kinder,2026-10-02,parental pressure,,peer pressure,,physical disabilities,,laziness,,undecided,,,for assessment,
,Ravi M. Bautista,Agnes,Grade 1,2026-10-03,parent-child misunderstanding,,adjustment difficulties,,stress,,difficult subjects,,no identified career,,,for follow-up,
,Blair A. Villanueva,BS-IE,2nd Year,2026-10-04,financial discomfort,,boy-girl relationship,,hospitalization,,failing marks,,confusion,,,conference with parent/guardian,
,Kairos T. Rivera,BS-P,3rd Year,2026-10-05,sibling rivalry,,incompatibilities,,gender confusion,,misbehavior,,parents choice,,,conference with adviser/subject teacher,
,Leah S. Solis,BS-A,1st Year,2026-10-06,lack of quality time,,mistrust,,poor health,,transition to school life,,change of interest,,,for assessment,
,Zara G. Garcia,Sofia,Grade 2,2026-10-07,parental pressure,,bullying,,low self-esteem,,learning difficulties,,undecided,,,for follow-up,
,Ember L. Aquino,BSBA HRM,4th Year,2026-10-08,sibling rivalry,,peer pressure,,psychological disturbances,,teacher/s,,no identified career,,,conference with parent/guardian,
,Axel P. Mendoza,St. Clare,Grade 3,2026-10-09,financial discomfort,,adjustment difficulties,,physical disabilities,,laziness,,confusion,,,conference with adviser/subject teacher,
,Sophie T. De Guzman,Monica,Grade 5,2026-10-10,parent-child misunderstanding,,boy-girl relationship,,stress,,difficult subjects,,parents choice,,,for assessment,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
